桥梁名称,建造时代/时间,所属省份,所属市区/具体地址,批次,分类
安济桥 （大石桥）,隋,,河北省宁晋县,第一批,
安平桥 （五里桥）,南宋,,福建省晋江县,第一批,
永通桥 （小石桥）,金,,河北省宁晋县,第一批,
观音桥,宋,,江西省星子县,第三批,
洛阳桥,宋至明,,福建省泉州市,第三批,
广济桥,宋至明,,广东省潮州市,第三批,
灞桥遗址,隋－元,,陕西省西安市,第四批,
十二桥遗址,商至西周,,四川省成都市,第五批,
东渭桥遗址,唐,,陕西省高陵县,第五批,
跨湖桥遗址,新石器时代,,浙江省杭州市,第六批,
小双桥遗址,商,,河南省郑州市,第六批,
上海马桥遗址,新石器时代至商,,上海市闵行区,第七批,
庄桥坟遗址,新石器时代,,浙江省嘉兴市平湖市,第七批,
板桥镇遗址,宋至清,,山东省青岛市胶州市,第七批,
土桥闸遗址,明,,山东省聊城市东昌府区,第七批,
桥北村遗址,新石器时代,,河南省洛阳市嵩县,第七批,
董桥遗址,新石器时代,,河南省驻马店市西平县,第七批,
八里桥遗址,夏,,河南省南阳市方城县,第七批,
桥镇遗址,新石器时代、西周,,陕西省宝鸡市陈仓区,第七批,
沙河古桥遗址,秦、汉,,陕西省咸阳市秦都区,第七批,
桥村遗址,新石器时代、西周、汉,,甘肃省平凉市灵台县,第七批,
桥陵,唐,,陕西省蒲城县,第三批,
藤桥墓群,唐至明,,海南省三亚市,第六批,
惠水仙人桥洞葬,明至清,,贵州省黔南布依族苗族自治州惠水县,第七批,
杨桥畔汉代城址与墓地,汉,,陕西省榆林市靖边县,第七批,
龙脑桥,明,,四川省泸县,第四批,
宝带桥,明,,江苏省苏州市,第五批,
古月桥,宋,,浙江省义乌市,第五批,
如龙桥,明,,浙江省庆元县,第五批,
八字桥,宋,,浙江省绍兴市,第五批,
江东桥,宋,,福建省漳州市,第五批,
小商桥,宋,,河南省临颍县,第五批,
岜团桥,清,,广西壮族自治区三江侗族自治县,第五批,
地坪风雨桥,清,,贵州省黎平县,第五批,
涿州永济桥,明至清,,河北省涿州市,第六批,
单桥,明,,河北省献县,第六批,
弘济桥,明,,河北省永年县,第六批,
伍仁桥,明,,河北省安国市,第六批,
太仓石拱桥,元,,江苏省太仓市,第六批,
莲花桥和白塔,清,,江苏省扬州市,第六批,
新河闸桥群,宋至清,,浙江省温岭市,第六批,
寿昌桥,宋,,浙江省德清县,第六批,
赤溪五洞桥,宋,,浙江省苍南县,第六批,
泰顺廊桥,清,,浙江省泰顺县,第六批,
闽东北廊桥,清,,福建省屏南县、寿宁县、柘荣县、古田县、武夷山市,第六批,
鸣水桥,宋,,江西省樟树市,第六批,
清华彩虹桥,宋至清,,江西省婺源县,第六批,
卞桥,唐至金,,山东省泗水县,第六批,
坪坦风雨桥,清,,湖南省通道侗族自治县,第六批,
波日桥,清,,四川省新龙县,第六批,
葛镜桥,明,,贵州省福泉市,第六批,
金龙桥,清,,云南省丽江市,第六批,
双龙桥,清,,云南省建水县,第六批,
琉璃河大桥,明,,北京市房山区,第七批,
下胡良桥,明,,河北省保定市涿州市,第七批,
方顺桥,明至清,,河北省保定市满城县,第七批,
登瀛桥,明至清,,河北省沧州市沧县,第七批,
衡水安济桥,清,,河北省衡水市桃城区,第七批,
襄垣永惠桥,金,,山西省长治市襄垣县,第七批,
平遥惠济桥,清,,山西省晋中市平遥县,第七批,
思本桥,宋,,江苏省苏州市吴江区,第七批,
东庙桥,宋,,江苏省苏州市吴江区,第七批,
七桥瓮,明,,江苏省南京市秦淮区,第七批,
蒲塘桥,明,,江苏省南京市溧水区,第七批,
护法寺桥 和 塔,宋,,浙江省温州市苍南县,第七批,
八卦桥 和 河西桥,宋,,浙江省温州市瑞安市,第七批,
西山桥,南宋,,浙江省杭州市建德市,第七批,
潘公桥 及 潘孝墓,明至清,,浙江省湖州市吴兴区,第七批,
双林三桥,清,,浙江省湖州市南浔区,第七批,
马上桥花厅,清,,浙江省金华市东阳市,第七批,
北岸廊桥,清,,安徽省黄山市歙县,第七批,
龙江桥,宋,,福建省福州市福清市,第七批,
宁海桥,元,,福建省莆田市涵江区,第七批,
逢渠桥,宋,,江西省宜春市宜丰县,第七批,
