序号,名称/代表村落,时代,省份,市县,经度(E),纬度(N),民居类型,主体材料,屋顶形制,院落格局
1,西递村,明清,安徽,黟县,117°38',30°11',徽派,砖木,硬山(马头墙),天井式三合院
2,宏村,明清,安徽,黟县,117°59',30°00',徽派,砖木,硬山(马头墙),天井式合院
3,唐模村,明清,安徽,黄山市徽州区,118°22',29°51',徽派,砖木,硬山,天井式
4,呈坎村,宋-清,安徽,黄山市徽州区,118°17',29°55',徽派,砖木,硬山,天井式
5,南屏村,明清,安徽,黟县,117°58',29°54',徽派,砖木,硬山,天井式
6,北京四合院(典型),元-清,北京,东城区,116°24',39°55',晋派/北方四合院,砖木,硬山/卷棚,四合院
7,爨底下村,明清,北京,门头沟区,115°41',39°57',山地四合院,砖石/木,硬山,山地四合院
8,乔家大院,清,山西,祁县,112°20',37°21',晋派/晋商大院,砖木,硬山,城堡式合院
9,王家大院,清,山西,灵石县,111°49',36°51',晋派/晋商大院,砖木,硬山,城堡式合院
10,皇城相府,明清,山西,阳城县,112°33',35°29',晋派/城堡式,砖木/石,硬山/歇山,城堡式聚落
11,丁村民居,明-清,山西,襄汾县,111°28',35°52',晋派,砖木,硬山,四合院
12,平遥古城民居,明清,山西,平遥县,112°11',37°12',晋派,砖木,硬山,四合院
13,福建土楼(振成楼),明-清,福建,永定区,117°03',24°40',客家/土楼,夯土/木,悬山,圆形聚落
14,福建土楼(田螺坑),明-清,福建,南靖县,117°04',24°37',客家/土楼,夯土/木,悬山,圆形/方形
15,培田古村,明清,福建,连城县,116°46',25°25',客家/九厅十八井,砖木,硬山/悬山,九厅十八井
16,五凤楼(福裕楼),清,福建,永定区,117°02',24°41',客家/五凤楼,夯土/木,悬山,府第式
17,泉州古厝(蔡氏古民居),清,福建,南安市,118°23',24°57',闽南/红砖厝,砖石/木,硬山(燕尾脊),三合院/四合院
18,番仔楼(典型),近代,福建,晋江市,118°34',24°48',闽南/中西合璧,砖石/木,硬山/西式,单体/合院
19,梅州围龙屋(仁厚温公祠),明清,广东,梅州市梅县区,116°06',24°18',客家/围龙屋,夯土/木,悬山,半圆形围合
20,韶关满堂围,清,广东,始兴县,114°09',24°57',客家/围楼,砖石/木,硬山,城堡式方围
